DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|TradeName|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
131|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 breaker-3ht"|||||
132|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1.20/40 white"|"Y"|20/40| White||
133|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10 hcl acid, area 1"|||||
134|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10% hcl acid"|||||
135|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10-l"|||||
136|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10_ fe acid"|||||
137|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh com white"|||||
138|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh ottawa"|||||
139|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh sand, ottawa sand"|"Y"|100| Ottawa||
140|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"11 phx si-4"|||||
141|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"12.5% hydrochloric acid"|||||
142|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl , yf125flexd , slickwater , sxe20ht"|||||
143|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl acid, yf120st+, wf110"|||||
144|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl, encap hp, feac-20, fr-12 (anionic acrylamide), lai-20, lbf-21, s-15 (surfactant), wbo-1 (oxidizer breaker), wg-111l, ottawa sand, valubond"|||||
145|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% acid"|||||
146|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% gelled acid"|||||
147|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hcl acid, 7.5/1.5 % hf acid"|"Y"|.5/1.| ||
148|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hcl, slickwater, wf105, wf108, wf110"|||||
149|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hcl, wf810, yf820lph"|||||
150|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% ic acid"|||||
151|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% salt water"|||||
152|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"16/30  rcs garnet"|"Y"|16/30| |Y|
153|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"16/30 siberprop"|"Y"|16/30| ||
154|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"19n, ba-40l, cl-22uc, cl-31, cla-sta xp, fe acid, fr-66, hai-os, lgc-36 uc, mo-67, optiflo-iii delayed release, sp breaker, premium white, 100 mesh sand"|||||
155|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"2 20/40 slc"|"Y"|20/40| ||
156|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"2 kcl water"|||||
157|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"12% hcl"|||||
158|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"12.5% hcl"|||||
159|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"14/40 fracblack"|"Y"|14/40| ||
160|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 ferric acid"|||||
161|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl acid, breaker -10l, bxl-2l, cc - 11 kcl, cia- lt166, fr-947, i-6l, ne - 140, s-10, wga-1e slr"|||||
162|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl acid, yf125st+, wf125"|||||
163|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl, ai-9, df-1, encap hp, feac-30, ph-11, wbo-1 (oxidizer breaker), wg-111d, wxb-12"|||||
164|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl, feac-30, formic acid, fr-12 (anionic acrylamide), lai-20, s-15 (surfactant), wbo-8, wg-111l, wxb-77, prc, white sand"|||||
165|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl, yf125st+, yf120st+, slickwater"|||||
166|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% fe acid"|||||
167|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"biocide 234"|||||
168|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"rsi994"|||||
169|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"(ai-3), ic-100, lsg-100l, super ow-3, wfr-5, xl-11"|||||
170|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"-101357963"|||||
171|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.0001998082"|||||
