DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|CasNumber|IngredientName|MatchingStrategy|PercentofConfidence|DisclosureStatus|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
3728|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67481|"polyamine polyethers"|"NO CAS MATCH FOUND"||Disclosed|||||
3729|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67515553|"4-fluoro-3-(trifluoromethyl) benzoic acid"|"NO CAS MATCH FOUND"||Disclosed|||||
3730|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67561|"ethoxylated alcohol mixture"|"NO CAS MATCH FOUND"||Disclosed|||||
3731|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67561|"jlethanol"|"NO CAS MATCH FOUND"||Disclosed|||||
3732|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67561|"metanol"|"NO CAS MATCH FOUND"||Disclosed|||||
3733|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly (oxy1,2-ethynediyl),alpha-(4-nonylphenyl)-omega-hydroxy-,branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3734|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1, 2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3735|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1,2-etanediyl),alpha-(4-noylphenyl)-omega-hydroxy-,branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3736|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1,2-ethanediyl), alpha-(4-nonphenyl)-omega-hydroxy-, branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3737|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3738|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-.branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3739|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67561|"methanol/ isopropl alcohol/ ethylene glycol"|"NO CAS MATCH FOUND"||Disclosed|||||
3740|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67561|"methy alcohol"|"NO CAS MATCH FOUND"||Disclosed|||||
3741|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67561|"methyl alcohol"|"NO CAS MATCH FOUND"||Disclosed|||||
3742|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67561|"metyl alcohol"|"NO CAS MATCH FOUND"||Disclosed|||||
3743|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|675611|"methanol"|"NO CAS MATCH FOUND"||Disclosed|||||
3744|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|6763|"isopropanol"|"NO CAS MATCH FOUND"||Disclosed|||||
